ex1,ex2
72,93
58,78
55,92
42,31
90,91
55,84
58,91
50,77
22,27
65,61
59,84
37,83
72,73
77,71
43,34
38,28
35,57
70,56
50,48
78,76
73,93
78,80
49,28
33,47
47,84
71,84
77,80
61,71
62,59
2,20
87,90
67,80
74,83
64,47
74,76
44,35
58,96
40,55
42,43
35,19
85,92
74,94
50,96
75,69
24,69
95,88
64,68
88,71
96,96
86,92
45,34
77,78
61,51
75,93
96,91
63,85
94,82
69,83
96,90
60,39
84,87
49,28
61,90
83,87
74,86
82,59
54,47
39,29
77,66
65,23
89,64
77,83
64,84
76,61
55,42
35,0
55,69
86,85
67,86
86,86
47,96
83,52
30,52
87,85
79,76
92,68
94,76
42,35
45,85
83,92
20,31
82,87
70,86
77,94
50,0
75,57
60,28
77,79
33,54
18,74
68,79
34,71
49,29
17,0
82,92
34,51
64,62
51,62
74,56
39,61
58,93
30,40
24,67
59,63
76,51
46,86
78,78
45,72
73,55
92,75
32,54
88,90
72,87
81,44
66,58
43,61
53,66
66,82
63,41
76,92
61,72
71,68
62,76
32,58
60,25
75,85
66,41
42,47
92,91
85,72
62,72
28,48
88,95
89,97
71,82
73,60
88,95
87,77
